add_count,entry_notional,entry_price,entry_size,entry_step,exit_price,pnl,step,type,variant
0,10000.0,173.114616,1.0,1982,172.275538,-52.4497206046708,2899,sell,baseline_100
0,9947.55027939533,172.275538,1.0,2899,176.065206,-218.8229585764857,4027,buy_cover,baseline_100
0,9726.737810762965,176.065206,1.0,4027,185.71285,528.8814636934749,5104,sell,baseline_100
0,10255.61927445644,185.71285,1.0,5104,185.347062,20.200317302334952,6094,buy_cover,baseline_100
0,10273.768467903883,185.347062,1.0,6094,176.86462,-474.10192523146,6611,sell,baseline_100
0,9799.666542672423,176.86462,1.0,6611,175.555104,72.55769383132247,7835,buy_cover,baseline_100
0,9870.26430319521,175.555104,1.0,7835,171.305732,-242.7653158399753,8379,sell,baseline_100
0,9627.498987355235,171.305732,1.0,8379,164.08281,405.93351207319574,9191,buy_cover,baseline_100
0,10031.50699963096,164.08281,1.0,9191,182.553482,1124.774948054297,10628,sell,baseline_100
0,11156.281947685256,182.553482,1.0,10628,184.24684200000002,-103.48484822953833,11330,buy_cover,baseline_100
0,11050.56584306618,184.24684200000002,1.0,11330,181.153762,-189.85912797185483,11781,sell,baseline_100
0,10860.706715094326,181.153762,1.0,11781,188.767746,-456.48052923888827,12405,buy_cover,baseline_100
0,10402.054044512419,188.767746,1.0,12405,188.04238400000003,-44.11552014380868,12871,sell,baseline_100
0,10357.93852436861,188.04238400000003,1.0,12871,187.177428,47.644783237674346,13737,buy_cover,baseline_100
0,10403.511719901411,187.177428,1.0,13737,184.603072,-147.18908353427105,14236,sell,baseline_100
0,10256.32263636714,184.603072,1.0,14236,184.51689599999997,4.788244033688898,14247,buy_cover,baseline_100
0,10259.059615873555,182.253542,1.0,15687,144.60891600000002,2119.0179211623936,30375,buy_cover,baseline_100
0,12376.025725112773,143.62127,1.0,30663,143.75874599999997,-11.845984554431197,31527,buy_cover,baseline_100
0,12361.704535413319,201.029786,1.0,48807,142.47849,3600.431091184704,55344,buy_cover,baseline_100
0,15959.66328569094,169.23384,1.0,57447,163.63726599999998,-533.9592270444609,57493,sell,baseline_100
0,15425.70405864648,163.63726599999998,1.0,57493,160.362066,308.74608281948167,58193,buy_cover,baseline_100
0,15731.365000654232,160.362066,1.0,58193,153.38931599999998,-690.0384291273622,59163,sell,baseline_100
0,15041.32657152687,153.38931599999998,1.0,59163,179.475888,-2558.0434859063516,59905,buy_cover,baseline_100
0,12480.274820306213,175.075008,1.0,60992,390.4219,15339.936809933251,95701,sell,baseline_100
0,27820.211630239464,370.494084,1.0,101495,317.596468,-3981.593289927441,105239,sell,baseline_100
0,23838.618340312023,365.333052,1.0,109847,934.813,37135.162257610704,136783,sell,baseline_100
0,60973.78059792273,1576.9353239999998,1.0,150989,3432.533356,71695.46912793307,172818,sell,baseline_100
0,132669.2497258558,2871.4441739999997,1.0,175757,2256.79855,-28440.157623351377,176621,sell,baseline_100
0,104229.09210250442,2843.838654,1.0,178061,2703.819128,-5171.469001386868,178925,sell,baseline_100
0,99057.62310111756,1804.359056,1.0,184304,1985.537028,-9946.49670065318,184880,buy_cover,baseline_100
0,89091.31487584415,1942.36145,1.0,189488,2023.494618,-3721.374003860561,192080,buy_cover,baseline_100
0,85352.12260900842,2182.9765079999997,1.0,192656,3060.8077160000003,34274.42691055476,209936,sell,baseline_100
0,119626.54951956318,3305.06088,1.0,212528,4179.51393,31590.289119135792,231248,sell,baseline_100
0,151216.83863869897,4354.9308120000005,1.0,231536,4078.8540660000003,-9642.895940220042,232976,sell,baseline_100
0,141573.94269847893,3406.5785480000004,1.0,240464,2465.162934,39124.28035168935,246224,buy_cover,baseline_100
0,180669.9082616286,2465.162934,1.0,246224,2337.842338,-9399.757836988516,246475,sell,baseline_100
0,171270.15042464007,2337.842338,1.0,246475,2591.588214,-18589.395825067797,246962,buy_cover,baseline_100
0,152646.50056948734,2752.75044,1.0,248591,2959.8379139999997,11417.843141022488,249284,sell,baseline_100
0,164064.34371050983,2959.8379139999997,1.0,249284,3195.0088739999997,-13035.561191439367,249750,buy_cover,baseline_100
0,150995.96965032836,3195.0088739999997,1.0,249750,3076.8845,-5640.711929682555,250537,sell,baseline_100
0,145355.2577206458,2959.0816979999995,1.0,251580,3050.369804,4424.30129698629,252179,sell,baseline_100
0,149779.5590176321,3050.369804,1.0,252179,2666.013096,18872.726227091713,254066,buy_cover,baseline_100
0,168622.3293329203,2666.013096,1.0,254066,2650.31983,-1059.6266151731543,255380,sell,baseline_100
0,167562.70271774713,2650.31983,1.0,255380,2995.9490699999997,-21851.909666429943,255884,buy_cover,baseline_100
